Year,Season,Month,Time,# Seats
2028,spring,3,8AM-4PM,6.436774194
2028,spring,3,4PM-12AM,9.40516129
2028,spring,4,12AM-8AM,12.44133333
2028,spring,4,8AM-4PM,6.562666667
2028,spring,4,4PM-12AM,9.606666667
2028,spring,5,12AM-8AM,12.60129032
2028,spring,5,8AM-4PM,6.154193548
2028,spring,5,4PM-12AM,9.599354839
2028,summer,6,12AM-8AM,13.52733333
2028,summer,6,8AM-4PM,5.441333333
2028,summer,6,4PM-12AM,9.334666667
2028,summer,7,12AM-8AM,13.68516129
2028,summer,7,8AM-4PM,5.729032258
2028,summer,7,4PM-12AM,9.581290323
2028,summer,8,12AM-8AM,13.63677419
2028,summer,8,8AM-4PM,5.676774194
2028,summer,8,4PM-12AM,9.722580645
2028,fall,9,12AM-8AM,12.49466667
2028,fall,9,8AM-4PM,6.597333333
2028,fall,9,4PM-12AM,9.39
2028,fall,10,12AM-8AM,12.52516129
2028,fall,10,8AM-4PM,6.520645161
2028,fall,10,4PM-12AM,9.48516129
2028,fall,11,12AM-8AM,12.57466667
2028,fall,11,8AM-4PM,6.166666667
2028,fall,11,4PM-12AM,9.546
2029,winter,12,12AM-8AM,13.58193548
2029,winter,12,8AM-4PM,5.284516129
2029,winter,12,4PM-12AM,9.185806452
2029,winter,1,12AM-8AM,13.59419355
2029,winter,1,8AM-4PM,5.29483871
2029,winter,1,4PM-12AM,9.493548387
2029,winter,2,12AM-8AM,13.6
2029,winter,2,8AM-4PM,5.304285714
2029,winter,2,4PM-12AM,9.490714286
2029,spring,3,12AM-8AM,12.51548387
2029,spring,3,8AM-4PM,6.493548387
2029,spring,3,4PM-12AM,9.307096774
2029,spring,4,12AM-8AM,12.80533333
2029,spring,4,8AM-4PM,6.512666667
2029,spring,4,4PM-12AM,9.459333333
2029,spring,5,12AM-8AM,12.70774194
2029,spring,5,8AM-4PM,6.366451613
2029,spring,5,4PM-12AM,9.361935484
2029,summer,6,12AM-8AM,13.52266667
2029,summer,6,8AM-4PM,5.436666667
2029,summer,6,4PM-12AM,9.348666667
2029,summer,7,12AM-8AM,13.4683871
2029,summer,7,8AM-4PM,5.498064516
2029,summer,7,4PM-12AM,9.600645161
2029,summer,8,12AM-8AM,13.65096774
2029,summer,8,8AM-4PM,5.595483871
2029,summer,8,4PM-12AM,9.595483871
2029,fall,9,12AM-8AM,12.718
2029,fall,9,8AM-4PM,6.39
2029,fall,9,4PM-12AM,9.361333333
2029,fall,10,12AM-8AM,12.51612903
2029,fall,10,8AM-4PM,6.600645161
2029,fall,10,4PM-12AM,9.488387097
2029,fall,11,12AM-8AM,12.33466667
2029,fall,11,8AM-4PM,6.713333333
2029,fall,11,4PM-12AM,9.837333333
2030,winter,12,12AM-8AM,13.74193548
2030,winter,12,8AM-4PM,5.404516129
2030,winter,12,4PM-12AM,9.667741935
2030,winter,1,12AM-8AM,13.59290323
2030,winter,1,8AM-4PM,5.381290323
2030,winter,1,4PM-12AM,9.743225806
2030,winter,2,12AM-8AM,13.57857143
2030,winter,2,8AM-4PM,5.365714286
2030,winter,2,4PM-12AM,9.551428571
2030,spring,3,12AM-8AM,12.75806452
2030,spring,3,8AM-4PM,6.390967742
2030,spring,3,4PM-12AM,9.58516129
2030,spring,4,12AM-8AM,12.614
2030,spring,4,8AM-4PM,6.668
2030,spring,4,4PM-12AM,9.424666667
2030,spring,5,12AM-8AM,12.77677419
2030,spring,5,8AM-4PM,6.339354839
2030,spring,5,4PM-12AM,9.549677419
2030,summer,6,12AM-8AM,13.602
2030,summer,6,8AM-4PM,5.567333333
2030,summer,6,4PM-12AM,9.502666667
2030,summer,7,12AM-8AM,13.48322581
